StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,intro,Q111,Q112,Prolific ID,attention_check,pojazd_q1,pojazd_q2,pojazd_q3_1,language,age_1,gender,lawyer,experience_1,profession,profession_5_TEXT,study_year_1,uwagi,PROLIFIC_PID,przeszukanie,przeszukanie_case,info,info_case,info2_case
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Szanowni Państwo,



zapraszamy do udziału w badaniu dotyczącym rozumowań prawniczych, prowadzonym przez badaczy z Uniwersytetu Jagiellońskiego i Uniwersytetu Śląskiego w Katowicach we współpracy z Uniwersytetem w Zurychu.

 
Przed przystąpieniem do wypełniania ankiety prosimy o zapoznanie się ze z poniższymi informacjami i odpowiedź na pytanie, czy udzielają Państwo świadomej zgody na udział w badaniu.



	badanie polegało będzie na zapoznaniu się z krótkimi opisami pewnych hipotetycznych sytuacji i udzieleniu odpowiedzi na kilka pytań odnoszących się do tych opisów,badanie nie wymaga od Państwa żadnej wiedzy prawniczej - co więcej, przedstawione opisy sytuacji są uproszczone (prosimy o niekierowanie się własną wiedzą na temat kształtu postępowania karnego w Polsce),

	udział w badaniu powinien zająć około 10 minut,
	udział w badaniu jest nieodpłatny i nie wiąże się z żadnym ryzykiem dla badanego,
	ankieta jest anonimowa. Na końcu badania zostaną Państwo poproszeni wyłącznie o podanie podstawowych danych demograficznych (wiek, płeć itp.). Poza tymi danymi, żadne inne dane identyfikujące Państwa nie będą rejestrowane, a Państwa odpowiedzi w ankiecie będą analizowane wyłącznie zbiorczo, łącznie z odpowiedziami innych uczestników,
	udział w badaniu jest całkowicie dobrowolny. Mogą Państwo zrezygnować z udziału w badaniu w dowolnym momencie bez żadnych konsekwencji. W takiej sytuacji Państwa odpowiedzi nie będą przez nas analizowane.wszelkie pytania proszę kierować do dra Bartosza Janika: bartosz.janik@us.edu.pl



Poprzez zaznaczenie poniższego pola ze zgodą oraz naciśnięcie przycisku ze strzałką oświadczają Państwo, że zapoznali się Państwo z powyższymi informacjami oraz że wyrażają Państwo zgodę na udział w badaniu.","Dziękuje Ci za poświęcenie swojego czasu na udział w badaniu. Na potrzeby naszych badań jesteśmy zainteresowani poznaniem pewnych faktów o Tobie. Szczególnie interesuje nas, czy przeczytałeś/aś uważnie tę instrukcje. Dlatego, aby pokazać nam, że przeczytałeś/aś instrukcję, proszę zignoruj pytanie o to czy jesteś wegetarianinem, nie zaznaczając żadnej odpowiedzi. Prosimy Cię również o skopiowanie i wklejenie pierwszych pięciu słów tego akapitu w polu oznaczonym ""Czy mógłbyś rozwinąć?"". Dziękuję bardzo. 

Pytanie: Czy jesteś wegetarianinem?",Czy mógłbyś rozwinąć?,'Jakie jest Twoje Prolific ID? Odpowiedź na to pytanie powinna wypełnić się automatycznie z poprawnym ID',Jakiej marki był samochód który został przeszukany?,"Czy w momencie podejmowania decyzji, policjant miał uzasadnione podstawy do przypuszczenia, że w samochodzie mogą znajdować się narkotyki i mógł dokonać przeszukania samochodu?","Wyobraź sobie, ze jesteś prokuratorem, który dokonać ma zatwierdzenia przeszukania. Decyzja zależy od uznania że policjant miał uzasadnione podstawy do przypuszczenia, że w samochodzie znajdują się narkotyki. Czy Twoim zdaniem, w momencie podejmowania decyzji, policjant miał uzasadnione podstawy i zatwierdzasz przeszukanie?","Jak bardzo uzasadnione były podstawy policjanta do przypuszczenia, że w samochodzie znajdują się narkotyki?",Czy polski jest Twoim językiem ojczystym?,Ile masz lat? - 1,Jaka jest Twoja płeć?,"Czy jesteś studentem prawa, absolwentem studiów prawniczych, czy żadnym z powyższych?","Jeśli jesteś absolwentem studiów prawniczych, to ile lat po studiach pracowałeś w zawodach związanych z prawem? - lata","Jeśli jesteś absolwentem studiów prawniczych, to jakie zawody prawnicze wykonywałeś? - Selected Choice","Jeśli jesteś absolwentem studiów prawniczych, to jakie zawody prawnicze wykonywałeś? - inne zawody prawnicze (jakie?) - Text","Jeśli jesteś studentem prawa, to od ilu lat studiujesz na tym kierunku? - lata",Czy mają Państwo jakieś uwagi dotyczące badania?,PROLIFIC_PID,przeszukanie,przeszukanie_case,info,info_case,info2_case
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID109""}","{""ImportId"":""QID15""}","{""ImportId"":""QID99""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_5_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""przeszukanie""}","{""ImportId"":""przeszukanie_case""}","{""ImportId"":""info""}","{""ImportId"":""info_case""}","{""ImportId"":""info2_case""}"
2023-03-30 16:09:34,2023-03-30 16:10:30,1,,100,55,1,2023-03-30 16:10:31,R_3gSMFkFyxcjOdyJ,,,,,51.5327,-0.0996,preview,PL,1,,Dziękuje Ci za poświęcenie swojego,,1,3,3,6,2,43,2,3,17,5,,,,,bad,"Na podstawie swoich doświadczeń i oceny sytuacji, policjant dokonał przeszukania samochodu i znalazł w nim schowaną pod siedzeniem paczkę zawierającą pół kilograma metamfetaminy.",yes,"Podstawa prawna: Art. 219. § 1. W celu wykrycia lub zatrzymania albo przymusowego doprowadzenia osoby podejrzanej, a także w celu znalezienia rzeczy mogących stanowić dowód w sprawie lub podlegających zajęciu w postępowaniu karnym, można dokonać przeszukania pomieszczeń i innych miejsc, jeżeli istnieją uzasadnione podstawy do przypuszczenia, że osoba podejrzana lub wymienione rzeczy tam się znajdują.
§ 2. W celu znalezienia rzeczy wymienionych w § 1 i pod warunkiem określonym w tym przepisie oraz z uwzględnieniem zasad i granic określonych w art. 227 można też dokonać przeszukania osoby, jej odzieży i podręcznych przedmiotów.","Komentarz: Według piśmiennictwa przypuszczenie o którym mowa jest subiektywnym sądem o tym, co było, jest lub będzie w rzeczywistości, powstającym w psychice człowieka pod wpływem posiadanych informacji o zdarzeniach, wiedzy o prawidłowościach występujących w otaczającym świecie, indywidualnej umiejętności kojarzenia faktów oraz innych czynników. Co więcej, decyzja o przeszukaniu musi mieć racjonalne uzasadnienie i opierać się na realnym prawdopodobieństwie wyprowadzonym z zebranych wiarygodnych informacji; nie jest dopuszczalne intuicyjne przeszukanie wszelkich miejsc, z którymi osoba poszukiwana miała kiedykolwiek kontakt."
2023-03-30 16:10:39,2023-03-30 16:10:43,1,,100,3,1,2023-03-30 16:10:43,R_1OHqupiY7nzATHq,,,,,51.5327,-0.0996,preview,PL,2,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 16:10:45,2023-03-30 16:10:53,1,,100,7,1,2023-03-30 16:10:54,R_QbQPa3IUc24FZjX,,,,,51.5327,-0.0996,preview,PL,1,1,,,,,,,,,,,,,,,,,,,,,
2023-03-30 16:13:26,2023-03-30 16:13:34,0,89.64.54.225,100,7,1,2023-03-30 16:13:36,R_1Qrx2NuwMa1Lnjj,,,,,50.0585,19.9342,anonymous,PL,1,2,,,,,,,,,,,,,,,,5eb9856147beca089a4c2381,,,,,
2023-03-30 16:13:29,2023-03-30 16:13:44,0,5.173.168.52,100,15,1,2023-03-30 16:13:45,R_2zuwDoFTOu0kQCn,,,,,52.2296,21.0067,anonymous,PL,1,2,,,,,,,,,,,,,,,,5f9166dc0a5c3105024c59ef,,,,,
2023-03-30 16:13:36,2023-03-30 16:13:51,0,95.160.159.194,100,14,1,2023-03-30 16:13:52,R_28CkNlx5gRvhLY6,,,,,52.2296,21.0067,anonymous,PL,1,2,,,,,,,,,,,,,,,,5fec02b28ac182cfbe734116,,,,,
2023-03-30 16:14:01,2023-03-30 16:14:14,0,89.151.39.166,100,13,1,2023-03-30 16:14:15,R_1oHLFBS71sPrLP5,,,,,52.4052,16.9339,anonymous,PL,1,2,,,,,,,,,,,,,,,,5f24757d98e1250541d3031f,,,,,
2023-03-30 16:13:28,2023-03-30 16:14:23,0,87.101.20.226,100,55,1,2023-03-30 16:14:25,R_3rZISTS5h3ao8Im,,,,,50.2824,18.7294,anonymous,PL,1,2,"Chciałabym być, ale na razie nie mam czasu aby przygotowywać przemyślane posiłki.",,,,,,,,,,,,,,,60323cf610c7c1204961d857,,,,,
